1001;4;Fuentes;Poblete;Yasmín;F;0;01;022017;022017;AFP;0;18;00;1;01/02/2017;;A;3;0;0;30363;5765;0;N;33;119250;13642;2429;10000;;;;;;;;;;106;;1;18000;;;;;;;;;;;;0;;;;;;;0000;;;;;;;;;;;;;01;;119250;1;8348;8348;0;;01;119250;;0;;;0;0;36128;;;;;02;119250;1538;;172250;716;4134;;;02
1001;4;Fuentes;Poblete;Yasmín;F;0;01;022017;022017;AFP;0;0;01;3;01/02/2017;10/02/2017;;3;;;;;;;33;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;01;;119250;;;;;;01;119250;;;;;;;;;;;;02;119250;;;;;;96572800;7;
1001;4;Fuentes;Poblete;Yasmín;F;0;01;022017;022017;AFP;0;0;01;0;;;;;;;;;;;;;0;;;;;;;;;;;;117;;1;13000;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1007;3;Gomez;Moya;Aurora;F;0;01;022017;022017;INP;0;0;00;3;01/02/2017;28/02/2017;D;2;0;0;0;0;0;N;29;0;0;0;0;;;;;;;;;;117;;1;15000;;;;;;;16778885;8;Henriquez;Mora;Juan Pablo;00;;;08;20018;;1;0901;18,84;0;0;;;;;;;;;;17;;0;2;11,00000;0;0;;01;0;;0;;;0;0;0;;;;;02;0;0;;800000;0;19200;96522500;5;06
1005;7;Jimenez;Oviedo;Ignacio;M;0;01;022017;022017;INP;0;8;00;3;01/02/2017;20/02/2017;D;2;0;0;0;0;0;N;34;0;0;0;0;;;;;;;;;;121;;1;15000;;;;;;;17563485;1;Alvarez;Hernandez;Valeria;00;;;08;20018;;1;0901;18,84;526364;99167;;;;;;;;;;17;;526364;2;11,00000;36845;40571;;01;526364;;0;;;0;0;0;;;;;02;526364;6790;;2995502;5991;71892;96522500;5;06
1520;2;Moreno;Gonzalez;Loreto;F;0;01;022017;022017;INP;0;30;00;0;;;B;1;0;0;6655;2940;0;N;05;0;0;0;5000;;;;;;;;;;008;;1;20000;;;;;;;;;;;;0;;;;;;;0101;21,84;375000;81900;;;;;24000;;;;;07;;;;;;;;01;375000;20000;0;;;0;2250;9595;;;;;02;375000;4838;;375000;2250;9000;;;05
1520;2;Moreno;Gonzalez;Loreto;F;0;01;022017;022017;INP;0;0;02;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;02;375000;15000.0;;;;;;;;;;;;;;;;;;;;
1000;6;Moya;Gonzalez;Angeles;F;0;01;022017;022017;AFP;0;30;00;1;01/02/2017;;D;2;0;0;0;0;0;N;08;1997881;230555;28170;15000;;;;;;;;;;003;;1;12000;;;;;;;16345567;6;Perez;Sanchez;Humberto;00;;;05;20098;;1;0000;;1997881;;;;;;127864;;;;;07;;;;;;;;01;1997881;50000;0;;;0;11987;0;;;;;02;1997881;25773;;2104500;12627;50508;;;01
1000;6;Moya;Gonzalez;Angeles;F;0;01;022017;022017;AFP;0;0;01;8;16/02/2017;;;2;;;;;;;08;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;07;;;;;;;;01;1997881;;;;;;;;;;;;02;1997881;;;;;;;;
1000;6;Moya;Gonzalez;Angeles;F;0;01;022017;022017;AFP;0;0;01;0;;;;;;;;;;;;;0;;;;;;;;;;;;118;;1;11000;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002;2;Muñoz;Navarrete;Cristobal;M;0;01;022017;022017;AFP;2;30;00;0;;;D;1;0;0;0;0;0;N;29;1904500;0;0;20000;;;;;;;;;;102;;1;11000;;;;;;;17654345;0;Bascur;Reyes;Camila;00;;;29;20654;;1;0000;;;;;;;;;;;;;04;;1904500;2;7,52000;133315;65154;;01;1904500;;0;;;0;0;0;;;;;02;1904500;24568;;0;0;0;;;03
1002;2;Muñoz;Navarrete;Cristobal;M;0;01;022017;022017;AFP;2;0;01;0;;;;;;;;;;;;;0;;;;;;;;;;;;008;;1;8000;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1006;5;Perez;Tavonnati;Catalina;F;0;01;022017;022017;AFP;0;15;00;7;01/02/2017;15/02/2017;C;2;0;0;4208;0;0;N;03;167411;19219;2360;0;;;;;;;;;;003;;1;10714;;;;;;;;;;;;0;;;;;;;0000;;167411;;;;;;10714;;;;;07;;;;;;;;01;167411;;0;;;0;1004;2254;;;;;02;167411;2159;;167411;0;5022;;;03
1006;5;Perez;Tavonnati;Catalina;F;0;01;022017;022017;AFP;0;13;02;0;16/02/2017;28/02/2017;C;2;0;0;4208;0;0;N;03;145089;16656;2046;0;;;;;;;;;;003;;1;9286;;;;;;;;;;;;0;;;;;;;0000;;145089;;;;;;9286;;;;;07;;;;;;;;01;145089;;0;;;0;871;1954;;;;;02;145089;1872;;145089;0;4353;;;04
1006;5;Perez;Tavonnati;Catalina;F;0;01;022017;022017;AFP;0;0;01;2;;28/02/2017;;2;;;;;;;03;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;07;;;;;;;;01;312500;;;;;;;;;;;;02;312500;;;;;;;;
1006;5;Perez;Tavonnati;Catalina;F;0;01;022017;022017;AFP;0;0;01;0;;;;;;;;;;;;;0;;;;;;;;;;;;121;;1;20000;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1003;0;Yañez;Martinez;Luisa;F;0;01;022017;022017;AFP;1;10;00;3;01/02/2017;15/02/2017;C;0;0;0;0;0;0;N;05;187500;21131;0;10000;;;;;;;;;;005;;1;13000;;;;;;;;;;;;0;;;;;;;0000;;;;;;;;;;;;;05;;187500;1;13125;13125;0;;01;187500;;0;;;0;0;0;;;;;02;187500;2419;;0;0;0;96501450;0;04
1003;0;Yañez;Martinez;Luisa;F;0;01;022017;022017;AFP;1;0;01;2;;25/02/2017;;0;;;;;;;05;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;05;;187500;;;;;;01;187500;;;;;;;;;;;;02;187500;;;;;;;;
1003;0;Yañez;Martinez;Luisa;F;0;01;022017;022017;AFP;1;0;01;0;;;;;;;;;;;;;0;;;;;;;;;;;;102;;1;20000;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
